"Statistic","HalfYear","Number of Bedrooms","Property Type","Location","UNIT","VALUE"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Wellpark, Galway","Euro","953.49"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Woodquay, Galway","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kerry","Euro","723.44"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castleisland, Kerry","Euro","680.41"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dingle, Kerry","Euro","775.76"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kenmare, Kerry","Euro","773.71"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Killarney, Kerry","Euro","836.65"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Killorglin, Kerry","Euro","682.3"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Listowel, Kerry","Euro","619.04"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tralee, Kerry","Euro","693.68"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kildare","Euro","1031.26"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kildare Town","Euro","901.86"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Athy, Kildare","Euro","735.27"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castledermot, Kildare","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Celbridge, Kildare","Euro","1150.25"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clane, Kildare","Euro","1019.21"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kilcock, Kildare","Euro","1013.49"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kilcullen, Kildare","Euro","917.41"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kill, Kildare","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Leixlip, Kildare","Euro","1152.77"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Maynooth, Kildare","Euro","1125.2"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Monasterevin, Kildare","Euro","803.99"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Naas, Kildare","Euro","1093.25"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Newbridge, Kildare","Euro","1004.7"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Rathangan, Kildare","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Sallins, Kildare","Euro","1030.17"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kilkenny","Euro","798.29"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kilkenny City","Euro","792.8"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Callan, Kilkenny","Euro","898.33"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castlecomer, Kilkenny","Euro","805.53"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Freshford, Kilkenny","Euro","807"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kells, Kilkenny","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Thomastown, Kilkenny","Euro","755.06"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Laois","Euro","724.56"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Mountmellick, Laois","Euro","666.26"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Mountrath, Laois","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Portarlington, Laois","Euro","666.5"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Portlaoise, Laois","Euro","752.2"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Leitrim","Euro","554.58"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carrick-On-Shannon, Leitrim","Euro","585.67"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Manorhamilton, Leitrim","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Limerick","Euro","798.84"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Limerick City","Euro","798.84"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Abbeyfeale, Limerick","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Annacotty, Limerick","Euro","915.85"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castleconnell, Limerick","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castletroy, Limerick","Euro","968.72"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Corbally, Limerick","Euro","827.97"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dock Road, Limerick","Euro","679.76"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dooradoyle, Limerick","Euro","856.09"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Glen, Limerick","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kilmallock, Limerick","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Newcastle West, Limerick","Euro","621.25"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Old Cratloe Road, Limerick","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Raheen, Limerick","Euro","847.08"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Longford","Euro","582.05"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Longford Town","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballymahon, Longford","Euro","552.43"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Edgeworthstown, Longford","Euro","581.04"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Newtownforbes, Longford","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Louth","Euro","849.73"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ardee, Louth","Euro","786.85"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Drogheda, Louth","Euro","900.2"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dundalk, Louth","Euro","758.59"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Louth Town","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Mayo","Euro","652.67"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballina, Mayo","Euro","629.09"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballinrobe, Mayo","Euro","647.35"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballyhaunis, Mayo","Euro","613.37"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Belmullet, Mayo","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castlebar, Mayo","Euro","675.09"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Charlestown, Mayo","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Claremorris, Mayo","Euro","610.2"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Foxford, Mayo","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Swinford, Mayo","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Westport, Mayo","Euro","731.04"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Meath","Euro","922.08"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ashbourne, Meath","Euro","1108.46"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Athboy, Meath","Euro","765.07"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Bettystown, Meath","Euro","970.36"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clonee, Meath","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Drogheda, Meath","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Duleek, Meath","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dunboyne, Meath","Euro","1164.3"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Dunshaughlin, Meath","Euro","968.6"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Enfield, Meath","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Kells, Meath","Euro","742.95"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Laytown, Meath","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Navan, Meath","Euro","853.49"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ratoath, Meath","Euro","1095.08"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Stamullen, Meath","Euro","1013.17"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Trim, Meath","Euro","829.52"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Monaghan","Euro","632.72"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballybay, Monaghan","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carrickmacross, Monaghan","Euro","653.39"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castleblayney, Monaghan","Euro","652.29"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Monaghan Town","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Offaly","Euro","699.98"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Banagher, Offaly","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Birr, Offaly","Euro","667.13"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clara, Offaly","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Edenderry, Offaly","Euro","737.69"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tullamore, Offaly","Euro","724.09"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Roscommon","Euro","637.65"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Roscommon Town","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Athlone, Roscommon","Euro","758.98"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballaghaderreen, Roscommon","Euro","535.4"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Boyle, Roscommon","Euro","555.24"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Castlerea, Roscommon","Euro","610.9"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Strokestown, Roscommon","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Sligo","Euro","674.5"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Sligo Town","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballinode, Sligo","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballisodare, Sligo","Euro","660.61"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballymote, Sligo","Euro","479.69"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballytivnan, Sligo","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Collooney, Sligo","Euro","662.81"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Lough Gill, Sligo","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Strandhill, Sligo","Euro","808.79"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tubbercurry, Sligo","Euro","517.45"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tipperary","Euro","678.91"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Tipperary Town","Euro","651.78"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Ballina, Tipperary","Euro","737.36"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cahir, Tipperary","Euro","670.77"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Carrick-On-Suir, Tipperary","Euro",""
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Cashel, Tipperary","Euro","705.18"
"RTB Average Monthly Rent Report","2008H1","All bedrooms","All property types","Clonmel, Tipperary","Euro","718.84"
