"Statistic","CensusYear","Sex","Aggregate Town or Rural Area","County and City","UNIT","VALUE"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Wicklow","%","3.9"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Clare","%","0.4"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Cork City","%","4.9"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Cork County","%","5.3"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Kerry","%","0.2"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Limerick City and County","%","2.1"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Tipperary","%","0.7"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Waterford City and County","%","1.9"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Galway City","%","3.5"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Galway County","%","-0.2"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Leitrim","%","3.3"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Mayo","%","-1.6"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Roscommon","%","3.5"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Sligo","%","7.5"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Cavan","%","4.8"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Donegal","%","-1.8"
"Percentage change since previous census","2016","Male","Aggregate Town Area","Monaghan","%","1.8"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","State","%","1.4"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Carlow","%","2.8"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Dublin City","%","0"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Dún Laoghaire-Rathdown","%","37.4"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Fingal","%","1.3"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","South Dublin","%","2.5"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Kildare","%","5.9"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Kilkenny","%","0.7"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Laois","%","3.3"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Longford","%","2.3"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Louth","%","-0.9"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Meath","%","1.5"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Offaly","%","2.3"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Westmeath","%","1.9"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Wexford","%","1.9"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Wicklow","%","3.9"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Clare","%","1.1"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Cork City","%","0"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Cork County","%","3.1"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Kerry","%","0.8"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Limerick City and County","%","1"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Tipperary","%","-0.3"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Waterford City and County","%","2.5"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Galway City","%","0"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Galway County","%","2.4"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Leitrim","%","-0.9"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Mayo","%","-0.2"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Roscommon","%","-1.1"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Sligo","%","-4.5"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Cavan","%","3"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Donegal","%","-1.9"
"Percentage change since previous census","2016","Male","Aggregate Rural Area","Monaghan","%","1.2"
"Percentage change since previous census","2016","Female","State","State","%","4"
"Percentage change since previous census","2016","Female","State","Carlow","%","4.7"
"Percentage change since previous census","2016","Female","State","Dublin City","%","4.4"
"Percentage change since previous census","2016","Female","State","Dún Laoghaire-Rathdown","%","5.3"
"Percentage change since previous census","2016","Female","State","Fingal","%","8.1"
"Percentage change since previous census","2016","Female","State","South Dublin","%","5"
"Percentage change since previous census","2016","Female","State","Kildare","%","6"
"Percentage change since previous census","2016","Female","State","Kilkenny","%","4.3"
"Percentage change since previous census","2016","Female","State","Laois","%","4.8"
"Percentage change since previous census","2016","Female","State","Longford","%","4.8"
"Percentage change since previous census","2016","Female","State","Louth","%","5"
"Percentage change since previous census","2016","Female","State","Meath","%","6.6"
"Percentage change since previous census","2016","Female","State","Offaly","%","2.3"
"Percentage change since previous census","2016","Female","State","Westmeath","%","3"
"Percentage change since previous census","2016","Female","State","Wexford","%","3.5"
"Percentage change since previous census","2016","Female","State","Wicklow","%","4.6"
"Percentage change since previous census","2016","Female","State","Clare","%","1.9"
"Percentage change since previous census","2016","Female","State","Cork City","%","5.8"
"Percentage change since previous census","2016","Female","State","Cork County","%","4.5"
"Percentage change since previous census","2016","Female","State","Kerry","%","2.4"
"Percentage change since previous census","2016","Female","State","Limerick City and County","%","1.6"
"Percentage change since previous census","2016","Female","State","Tipperary","%","0.9"
"Percentage change since previous census","2016","Female","State","Waterford City and County","%","2.1"
"Percentage change since previous census","2016","Female","State","Galway City","%","4.7"
"Percentage change since previous census","2016","Female","State","Galway County","%","3"
"Percentage change since previous census","2016","Female","State","Leitrim","%","2.1"
"Percentage change since previous census","2016","Female","State","Mayo","%","0.4"
"Percentage change since previous census","2016","Female","State","Roscommon","%","1.4"
"Percentage change since previous census","2016","Female","State","Sligo","%","0.6"
"Percentage change since previous census","2016","Female","State","Cavan","%","4.6"
"Percentage change since previous census","2016","Female","State","Donegal","%","-0.6"
"Percentage change since previous census","2016","Female","State","Monaghan","%","1.6"
"Percentage change since previous census","2016","Female","Aggregate Town Area","State","%","4.8"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Carlow","%","4.8"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Dublin City","%","4.4"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Dún Laoghaire-Rathdown","%","5.1"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Fingal","%","8.5"
"Percentage change since previous census","2016","Female","Aggregate Town Area","South Dublin","%","5.1"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Kildare","%","6"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Kilkenny","%","8.7"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Laois","%","6.8"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Longford","%","6.4"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Louth","%","7.5"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Meath","%","9.6"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Offaly","%","-0.6"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Westmeath","%","3.5"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Wexford","%","4.1"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Wicklow","%","4.3"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Clare","%","0.7"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Cork City","%","5.8"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Cork County","%","5"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Kerry","%","2.2"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Limerick City and County","%","1.1"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Tipperary","%","0.4"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Waterford City and County","%","0.7"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Galway City","%","4.7"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Galway County","%","2"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Leitrim","%","3.2"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Mayo","%","-1.6"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Roscommon","%","4.2"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Sligo","%","7"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Cavan","%","6.3"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Donegal","%","-2.1"
"Percentage change since previous census","2016","Female","Aggregate Town Area","Monaghan","%","0.7"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","State","%","2.6"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Carlow","%","4.6"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Dublin City","%","0"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Dún Laoghaire-Rathdown","%","32"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Fingal","%","2.9"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","South Dublin","%","0.2"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Kildare","%","6"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Kilkenny","%","1.6"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Laois","%","3"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Longford","%","4"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Louth","%","0.3"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Meath","%","2.4"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Offaly","%","4.6"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Westmeath","%","2.5"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Wexford","%","3.2"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Wicklow","%","5.1"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Clare","%","2.7"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Cork City","%","0"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Cork County","%","4.1"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Kerry","%","2.6"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Limerick City and County","%","2.3"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Tipperary","%","1.2"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Waterford City and County","%","4.4"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Galway City","%","0"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Galway County","%","3.4"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Leitrim","%","1.9"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Mayo","%","1.2"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Roscommon","%","0.4"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Sligo","%","-3.4"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Cavan","%","3.9"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Donegal","%","0.1"
"Percentage change since previous census","2016","Female","Aggregate Rural Area","Monaghan","%","2"
